area_quemada;clase_incendio;mes_incendio;vegetacion;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_cont
10.0;C;Abril;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
9.0;B;Enero;Matorral abierto;0.0;0.0;0.0;0.0
10.0;C;Octubre;Matorral abierto;0.0;0.0;0.0;0.0
8.0;B;Septiembre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
4.0;B;Noviembre;Bosque tropical perennifolio secundario;5.7;4.6;4.6;88.4
2.0;B;Octubre;Matorral abierto;88.8;51.8;0.0;133.7
4.0;B;Noviembre;Matorral abierto;95.1;20.1;0.0;223.8
1.0;B;Agosto;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
1.0;B;Noviembre;Desierto polar_roca;0.0;0.0;0.0;0.0
3.0;B;Abril;Bosque tropical perennifolio secundario;33.3;13.5;3.3;130.1
4.0;B;Septiembre;Bosque tropical perennifolio secundario;9.7;8.9;0.0;21.8
656.0;E;Julio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
3.0;B;Agosto;Bosque tropical perennifolio secundario;53.9;4.3;4.3;0.0
1.0;B;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
0.8;B;Agosto;Matorral abierto;0.0;0.0;0.0;0.0
8.0;B;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Enero;Matorral abierto;0.0;0.0;0.0;0.0
100.0;D;Junio;Bosque tropical perennifolio secundario;6.9;1.9;0.8;0.8
1.0;B;Abril;Bosque templado;0.0;0.0;0.0;0.0
15.0;C;Noviembre;Bosque tropical perennifolio secundario;87.7;2.9;1.8;0.0
1.0;B;Julio;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
2.0;B;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
5.0;B;Octubre;Desierto polar_roca;0.0;0.0;0.0;0.0
15.0;C;Abril;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
2.0;B;Abril;Pradera_estepa;396.0;284.6;237.4;0.0
3.0;B;Octubre;Bosque tropical perennifolio;0.3;0.0;0.0;0.0
2.0;B;Octubre;Bosque tropical perennifolio;12.0;12.0;12.0;8.8
5.0;B;Noviembre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Marzo;Desierto polar_roca;57.2;21.0;10.8;0.0
10.0;C;Abril;Bosque tropical perennifolio;60.3;31.9;24.0;23.0
1.01;B;Febrero;Matorral abierto;38.3;35.0;0.0;0.0
1.0;B;Mayo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.02;B;Marzo;Desierto polar_roca;18.3;2.1;2.1;0.0
1.0;B;Junio;Desierto;21.0;0.0;0.0;3.0
1.0;B;Septiembre;Matorral abierto;111.6;58.8;10.2;133.4
10.0;C;Marzo;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
15.28;C;Octubre;Matorral abierto;21.4;0.3;0.3;50.1
1.0;B;Diciembre;Matorral abierto;0.0;0.0;0.0;0.0
3.0;B;Septiembre;Matorral abierto;22.4;9.9;0.5;75.4
1.5;B;Junio;Pradera_estepa;6.4;1.4;0.0;0.0
1.0;B;Abril;Desierto polar_roca;21.2;12.5;0.0;0.0
2.0;B;Marzo;Bosque tropical perennifolio;8.9;6.1;1.3;27.4
1.0;B;Junio;Desierto polar_roca;26.3;7.6;0.0;0.0
3.9;B;Marzo;Bosque tropical perennifolio secundario;28.7;28.7;21.6;22.7
8.0;B;Enero;Matorral abierto;84.4;0.0;0.0;0.0
0.6;B;Julio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Abril;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
7.0;B;Septiembre;Matorral abierto;53.4;13.7;8.1;64.8
30.0;C;Agosto;Matorral abierto;0.0;0.0;0.0;0.0
0.55;B;Septiembre;Matorral abierto;8.9;5.1;4.3;0.0
1.0;B;Septiembre;Matorral abierto;8.5;5.5;0.0;55.5
1.0;B;Mayo;Desierto polar_roca;5.6;1.5;0.0;0.0
4.0;B;Octubre;Matorral abierto;0.0;0.0;0.0;0.0
20.0;C;Mayo;Matorral abierto;0.0;0.0;0.0;0.0
3.8;B;Julio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
4.93;B;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
2.45;B;Abril;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Marzo;Desierto polar_roca;102.0;51.5;20.8;58.1
1.68;B;Agosto;Desierto polar_roca;1.6;0.0;0.0;0.0
8.0;B;Abril;Pradera_estepa;63.5;35.6;8.9;40.9
4.0;B;Noviembre;Bosque tropical perennifolio secundario;7.9;0.0;0.0;0.0
